federal_account_symbol,account_title,agency,bureau
014-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Office of Surface Mining Reclamation and Enforcement",Department of the Interior,Office of Surface Mining Reclamation & Enforcement
014-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Office of Youth Programs",Department of the Interior,Office of Youth Programs
014-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Office of the Secretary",Department of the Interior,Departmental Offices
014-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-6053,"Non-Trust Deposits and Bids for Indian Lands and Natural Resources, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-6140,"Deposits of Proceeds of Lands Withdrawn for Native Selection, Bureau of Indian Affairs",Department of the Interior,Office of Special Trustee for American Indians
014-6275,"Withheld State and Local Taxes, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-6275,"Withheld State and Local Taxes, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-6275,"Withheld State and Local Taxes, Bureau of Ocean Energy Management, Interior",Department of the Interior,Bureau of Ocean Energy Management
014-6275,"Withheld State and Local Taxes, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-6275,"Withheld State and Local Taxes, National Park Service",Department of the Interior,National Park Service
014-6275,"Withheld State and Local Taxes, Office of Surface Mining Reclamation and Enforcement",Department of the Interior,Office of Surface Mining Reclamation & Enforcement
014-6275,"Withheld State and Local Taxes, Office of Youth Programs",Department of the Interior,Office of Youth Programs
014-6275,"Withheld State and Local Taxes, Office of the Secretary",Department of the Interior,Departmental Offices
014-6275,"Withheld State and Local Taxes, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-6276,"Other Federal Payroll Withholding, Allotments, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-6276,"Other Federal Payroll Withholding, Allotments, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-6276,"Other Federal Payroll Withholding, Allotments, Fish and Wildlife Service, Interior",Department of the Interior,U. S. Fish & Wildlife Service
014-6276,"Other Federal Payroll Withholding, Allotments, Office of the Secretary",Department of the Interior,Departmental Offices
014-6285,"Miscellaneous Unearned Collections, Bureau of Land Management (T)",Department of the Interior,Bureau of Land Management
014-6330,Deposits of Mineral Revenues from Indian Lands,Department of the Interior,Office of Natural Resources Revenue
014-6500,"Advances Without Orders from Non-Federal Sources, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-6500,"Advances Without Orders from Non-Federal Sources, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-6500,"Advances Without Orders from Non-Federal Sources, Bureau of Ocean Energy Management",Department of the Interior,Bureau of Ocean Energy Management
014-6500,"Advances Without Orders from Non-Federal Sources, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-6500,"Advances Without Orders from Non-Federal Sources, Bureau of Safety and Environment Enforcement",Department of the Interior,Bureau of Safety and Environmental Enforcement
014-6500,"Advances Without Orders from Non-Federal Sources, Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-6500,"Advances Without Orders from Non-Federal Sources, National Park Service, Interior",Department of the Interior,National Park Service
014-6500,"Advances Without Orders from Non-Federal Sources, Office of Surface Mining",Department of the Interior,Office of Surface Mining Reclamation & Enforcement
014-6500,"Advances Without Orders from Non-Federal Sources, Office of the Secretary",Department of the Interior,Departmental Offices
014-6500,"Advances Without Orders from Non-Federal Sources, U.S. Geological Survey",Department of the Interior,U. S. Geological Survey
014-6501,"Small Escrow Amount, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-6501,"Small Escrow Amount, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-6501,"Small Escrow Amounts, Fish and Wildlife Service, Interior",Department of the Interior,U. S. Fish & Wildlife Service
014-6501,"Small Escrow Amounts, National Park Service",Department of the Interior,National Park Service
014-6501,"Small Escrow Amounts, Office of Surface Mining",Department of the Interior,Office of Surface Mining Reclamation & Enforcement
014-6543,"Decommissioning Deposit Fund, Bureau of Safety and Environmental Enforcement, Interior.",Department of the Interior,Bureau of Safety and Environmental Enforcement
014-6704,"Deposits, Outer Continental Shelf Lands Act, Beaufort Sea, Office of Natural Resources Revenue, Interior",Department of the Interior,Office of Natural Resources Revenue
014-6705,"Deposits, Outer Continental Shelf Lands Act, Bonus Bids, Office of Natural Resources Revenue, Interior",Department of the Interior,Office of Natural Resources Revenue
014-6707,"Deposits, Outer Continental Shelf Lands Act, Pending Settlement, Office of Natural Resources Revenue, Interior",Department of the Interior,Office of Natural Resources Revenue
014-6800,"Unearned Moneys, Bureau of Land Management (T)",Department of the Interior,Bureau of Land Management
014-6801,"Deposits, Alaska National Interest Lands Conservation Act, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-6802,"Cash Transfer from the Department of Education, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-6803,"Tribal Trust Accounts, Office the Special Trustee for American Indians",Department of the Interior,Office of Special Trustee for American Indians
014-6875,"Suspense, Office of Youth Programs",Department of the Interior,Office of Youth Programs
014-7565,"United States - India Fund for Cultural, Educational, and Scientific Cooperations, Interior, India",Department of the Interior,Treasury-FMS/FO/FASD/IFB
014-8030,"Tribal Trust Fund, Bureau of Trust Funds Administration, Interior",Department of the Interior,BUREAU OF TRUST FUNDS ADMINISTRATION
014-8037,"Donations, National Park Service",Department of the Interior,National Park Service
014-8052,"Preservation, Birthplace of Abraham Lincoln, National Park Service",Department of the Interior,National Park Service
014-8069,"Land and Resources Management Trust Fund, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-8070,"Reclamation Trust Funds, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-8151,"Sport Fish Restoration Account, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-8215,"Construction (Trust Fund), National Park Service",Department of the Interior,National Park Service
014-8216,"Contributed Funds, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-8361,"Gifts and Donations, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-8367,"Gifts and Donations, Bureau of Indian Affairs and Bureau of Indian, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-8369,"Gifts and Bequest, Take Pride in America, Interior",Department of the Interior,Departmental Offices
014-8370,"Oil Spill Research, Bureau of Safety and Environmental Enforcement, Interior",Department of the Interior,Bureau of Safety and Environmental Enforcement
014-8562,"Contributed Funds, Geological Survey, Interior",Department of the Interior,U. S. Geological Survey
015-0100,"Salaries and Expenses, Foreign Claims Settlement Commission, Justice",Department of Justice,General Legal Activities
015-0104,"Payment of Vietnam and U.S.S. Pueblo Prisoner of War Claims, Foreign Claims Settlement Commission, Justice",Department of Justice,General Legal Activities
015-0105,"Administrative Expenses, Radiation Exposure Compensation, Justice",Department of Justice,General Legal Activities
015-0128,"Salaries and Expenses, General Legal Activities, Justice",Department of Justice,General Legal Activities
015-0129,"Salaries and Expenses, General Administration, Justice",Department of Justice,General Administration
015-0130,"Counterterrorism Fund, General Administration, Justice",Department of Justice,General Administration
015-0132,"Tactical Law Enforcement Wireless Communications, General Administration, Justice",Department of Justice,General Legal Activities
015-0133,"Construction, United States Marshals Service, Justice",Department of Justice,United States Marshals Service
015-0134,"Justice Information Sharing Technology, General Administration, Justice",Department of Justice,General Administration
015-0136,"Detention Trustee, General Administration, Justice",Department of Justice,General Administration
015-0137,"Legal Activities Office Automation, General Administration, Justice",Department of Justice,General Administration
015-0139,"Victims Compensation Fund, General Legal Activities, Justice",Department of Justice,General Legal Activities
015-0140,"Section 100054 Activities, One Big Beautiful Bill Act, General Legal Activities, Justice",Department of Justice,General Legal Activities
